make,model,year,price,mileage,overall_rating,complaint_count,reliability_score,age,depreciation_rate,fuel_type,engine,transmission,accident,clean_title
PORSCHE,911 R,2016,489000.0,719.0,3.0,0.0,1.0,8,1.2,Gasoline,4.0L H6 24V GDI DOHC,6-Speed Manual,None reported,Yes
LAND,ROVER DEFENDER X-DYNAMIC SE,2023,81998.0,3678.0,3.0,0.0,1.0,1,0.15,Hybrid,3.0 Liter,Automatic,None reported,
FORD,F-150 XL,2016,22000.0,107000.0,3.0,0.0,1.0,8,1.2,E85 Flex Fuel,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,At least 1 accident or damage reported,Yes
BMW,M8 COMPETITION,2022,114998.0,5018.0,3.0,0.0,1.0,2,0.3,Gasoline,4.4 Liter Twin Turbo,Automatic,None reported,
PORSCHE,911 CARRERA S,2010,71400.0,13850.0,3.0,0.0,1.0,14,2.1,Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,Yes
VOLVO,XC70 3.2,2008,11400.0,46700.0,3.0,0.0,1.0,16,2.4,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,,
CHRYSLER,300 TOURING,2021,27798.0,21478.0,4.0,0.0,1.0,3,0.4499999999999999,Gasoline,3.6 Liter,Automatic,None reported,
HONDA,INSIGHT EX,2020,20499.0,64200.0,5.0,17.0,0.9884038199181446,4,0.6,Hybrid,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,At least 1 accident or damage reported,Yes
PORSCHE,CAYMAN S,2006,36250.0,31075.0,3.0,0.0,1.0,18,2.6999999999999997,Gasoline,3.4L H6 24V MPFI DOHC,5-Speed Automatic,None reported,Yes
TESLA,MODEL Y PERFORMANCE,2022,47800.0,25250.0,5.0,0.0,1.0,2,0.3,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,Yes
BMW,M5 COMPETITION,2020,71950.0,35400.0,3.0,0.0,1.0,4,0.6,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
